Vonalkód,Márka,Típus,Mértékegység,Megnevezés,Mennyiség,Ár
5999545590228,Primavera,ásványvíz,liter,szénsavmentes ásványvíz,12,69
9789634361459,OFI,Tankönyv,darab,Biológia,0,4200
5999885140169,Márka,Jeges tea,liter,Peach Ice tea,321,710
5998815118667,SUZY,Üdítőital,liter,Piros vegyes gyümölcs,13500,279
5996177001115,Office,Füzet,darab,Vonalas,500,140
5997001770825,BradoLine,Kézfertőtlenítő,darab,Brado Life,1000,690
2526430009904,Twix,csokoládé,darab,Xtra,200,275
5998828591297,Theodora,ásványvíz,liter,Szén-dioxiddal enyhén dúsított természetes ásványvíz,1000,110
9789631969825,OFI,Könyv,darab,Függvénytáblázat,0,2000
5999885746842,Xixo,Jeges tea,liter,Peach Ice tea,50,349
4005900189950,Labello,Szájápoló ,darab,Ajakír,21,545
5999545590129,Primavera,ásványvíz,liter,szénsavmentes természetes ásványvíz,200,72
5904149061012,Orbit,Rágógumi ,csomag ,Mentolos ,500,239
5998818171027,Steffl,sör,doboz,világos,120,209
